code	ingredients_text
36559	 SALT RENNET
36559	 CALCIUM CHLORIDE
36559	 IMPORTED GOUDA CHEESE 
36559	PASTEURIZED COW'S MILK
36559	 CHEESE CULTURES
36559	 RENNET
36559	 SALTS
36559	 CAROTENE 
36559	COLOR
36559	 IMPORTED SWISS CHEESE 
36559	PART SKIM COW'S _MILK_
36559	 CHEESE CULTURES
36559	 SALT
36559	 ENZYMES
36559	 UNBLEACHED FLOUR 
36559	UNBLEACHED _WHEAT_ FLOUR
36559	 NIACIN
36559	 REDUCED IRON
36559	 THIAMINE MONONITRATE
36559	 RIBOFLAVIN
36559	 FOLIC ACID
36559	 BUTTER 
36559	PASTEURIZED CREAM
36559	 SALT
36559	 ANNATTO 
36559	COLOR
36559	 MODIFIED RICE STARCH
36559	 SALT
36559	 SPICES
41500007007	DISTILLED WHITE VINEGAR
41500007007	 WATER
41500007007	 MUSTARD SEED
41500007007	 MUSTARD BRAN
41500007007	 SALT
41500007007	 TURMERIC
41500007007	 PAPRIKA
43366	Maïs doux 
43366	 • Poivrons rouges 
43366	 • Riz arborio cuit 
43366	Eau • Riz arborio
43366	 • Sauce au piment et au citron vert 12% • Haricots noirs 
43366	 • Riz rouge cuit 10% 
43366	Riz rouge • Eau
43366	 • Avocat 
43366	 • Quinoa cuit 
43366	Graines de quinoa • Eau
43366	 • Tomates • Coriandre
4394	papaya
53327	Fortified British Wheat Flour 
53327	_wheat_ flour
53327	 calcium carbonate
53327	 niacin
53327	 iron
53327	 thiamin
64491	Sunflower oil
65269	Babeurre 
65269	_Lait_
